Convergence,Shear,Smooth_matter_fraction(alpha),Mapsize(Er),Numberofpixels,Lens_mass_function_power,Minmass,Maxmass,name_obj,image
0.562438,0.5623692,0.2,30,1300.0,0.01,0.299,0.3,SDSS1011+0143,B
3.308767,3.306771,0.2,30,1000.0,0.01,0.299,0.3,B1030+074,B
0.463302,0.4632553,0.2,30,1300.0,0.01,0.299,0.3,SDSS1011+0143,A
0.3777135,0.4649225,0.2,30,1100.0,0.01,0.299,0.3,DESJ0405-3308,C
0.4156316,0.5955456,0.2,30,600.0,0.01,0.299,0.3,B2045+265,B
0.6836944,0.6045298,0.2,30,1100.0,0.01,0.299,0.3,DESJ0405-3308,D
0.2407036,0.2406799,0.2,30,1100.0,0.01,0.299,0.3,J0102+2445,A
0.6423763,0.6387947,0.2,30,1100.0,0.01,0.299,0.3,WFIJ2026-4536A,2
0.4121783,0.4121082,0.2,30,2300.0,0.01,0.299,0.3,DES03xx-44xx,B
0.4575854,0.457544,0.2,30,1000.0,0.01,0.299,0.3,DESJ0408-5354,A
0.2854602,0.2854066,0.2,30,700.0,0.01,0.299,0.3,ULASJ2343-0050,B
0.8409959,0.9629846,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ1412+5204,B
0.2982966,0.2982719,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ1620+1203,A
0.466964,0.6343025,0.2,30,1200.0,0.01,0.299,0.3,B1422+231,B
0.9899274,1.333726,0.2,30,1000.0,0.01,0.299,0.3,PSJ0030-1525,B
0.7034961,0.703264,0.2,30,1100.0,0.01,0.299,0.3,J0228+3953,B
0.3030466,0.3029988,0.2,30,800.0,0.01,0.299,0.3,J1004+1229,A
0.3644183,0.3643888,0.2,30,1100.0,0.01,0.299,0.3,J0150-4041,A
0.5050768,0.6601832,0.2,30,900.0,0.01,0.299,0.3,WFI2033-4723A,2
1.442401,1.038963,0.2,30,1200.0,0.01,0.299,0.3,J0343-2828,C
0.2449913,0.2449702,0.2,30,1000.0,0.01,0.299,0.3,J0259-2338,A
0.2340893,0.3099356,0.2,30,900.0,0.01,0.299,0.3,PMNJ0134-0931,C
2.324685,2.322458,0.2,30,1700.0,0.01,0.299,0.3,SDSSJ1155+6346,B
0.8650453,0.8646406,0.2,30,1000.0,0.01,0.299,0.3,SDSSJ0806+2006,B
0.7529947,0.3591367,0.2,30,1100.0,0.01,0.299,0.3,J2205-3727,B
0.5811363,0.5809077,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ0746+4403,B
0.5985709,0.5983953,0.2,30,900.0,0.01,0.299,0.3,WISE2304-2214,A
0.821433,0.8212229,0.2,30,1100.0,0.01,0.299,0.3,J1623+7533,B
0.6819457,0.6816421,0.2,30,700.0,0.01,0.299,0.3,ULASJ2343-0050,A
0.839892,0.8396522,0.2,30,1100.0,0.01,0.299,0.3,J2332-1852,B
0.2732829,0.2732578,0.2,30,1100.0,0.01,0.299,0.3,SDSS0903+5028,A
0.360036,0.3599981,0.2,30,1200.0,0.01,0.299,0.3,SDSSJ1433+6007,C
0.3694924,0.2727142,0.2,30,1200.0,0.01,0.299,0.3,J0343-2828,B
0.3848301,0.3846776,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ1128+2402,B
0.3141503,0.314119,0.2,30,1200.0,0.01,0.299,0.3,SDSS1001+5027,A
0.5518594,0.551758,0.2,30,900.0,0.01,0.299,0.3,HE1104-1805,A
0.9514076,2.378229,0.2,30,900.0,0.01,0.299,0.3,HST12531-2914,D
0.3346164,0.3345753,0.2,30,700.0,0.01,0.299,0.3,SDSSJ0832+0404,A
1.184389,1.183513,0.2,30,1500.0,0.01,0.299,0.3,FBQ0951+2635,B
0.7659018,0.7326792,0.2,30,800.0,0.01,0.299,0.3,OGLEJ0218-7335,B
0.4085866,0.4526199,0.2,30,1100.0,0.01,0.299,0.3,J2349-4518,A
0.6797964,0.6797495,0.2,30,900.0,0.01,0.299,0.3,GraLJ165105.3-041725,B
0.9916852,0.04532055,0.2,30,800.0,0.01,0.299,0.3,J0029-3814,D
0.9999022,0.9993383,0.2,30,1600.0,0.01,0.299,0.3,SDSSJ1353+1138,B
0.5963321,0.5962461,0.2,30,1100.0,0.01,0.299,0.3,J0013+5119,B
0.3298374,0.3297799,0.2,30,1000.0,0.01,0.299,0.3,B0445+123,A
0.5363677,0.5362208,0.2,30,1100.0,0.01,0.299,0.3,J1949+7732,A
0.3413046,0.3412644,0.2,30,1100.0,0.01,0.299,0.3,J1710+4332,A
1.484018,2.168958,0.2,30,1100.0,0.01,0.299,0.3,DESJ0530-3730,A
0.4480865,0.4480043,0.2,30,1100.0,0.01,0.299,0.3,A2213-2652,A
0.3171766,0.3171467,0.2,30,1500.0,0.01,0.299,0.3,PSJ0840+3550,A
